Year,Company,Revenue (in millions),Profit (in millions)
1955,General Motors,9823.5,806.0
1956,General Motors,12443.3,1189.5
1957,General Motors,10796.4,847.4
1958,General Motors,10989.8,843.6
1959,General Motors,9522.0,633.6
1960,General Motors,11233.1,873.1
1961,General Motors,12736.0,959.0
1962,General Motors,11395.9,892.8
1963,General Motors,14640.2,1459.1
1964,General Motors,16494.8,1591.8
1965,General Motors,16997.0,1734.8
1966,General Motors,20734.0,2125.6
1967,General Motors,20208.5,1793.4
1968,General Motors,20026.3,1627.3
1969,General Motors,22755.4,1731.9
1970,General Motors,24295.1,1710.7
1971,General Motors,18752.4,609.1
1972,General Motors,28263.9,1935.7
1973,General Motors,30435.2,2162.8
1974,General Motors,35798.3,2398.1
1975,General Motors,31549.5,950.1
1976,General Motors,35724.9,1253.1
1977,General Motors,47181.0,2902.8
1978,General Motors,54961.3,3337.5
1979,General Motors,63221.1,3508.0
1980,General Motors,66311.2,2892.7
1981,General Motors,57728.5,-762.5
1982,General Motors,62698.5,333.4
1983,General Motors,60025.6,962.7
1984,General Motors,74581.6,3730.2
1985,General Motors,83889.9,4516.5
1986,General Motors,96371.7,3999.0
1987,General Motors,102813.7,2944.7
1988,General Motors,101782.0,3551.0
1989,General Motors,121085.0,4856.0
1990,General Motors,126974.3,4224.3
1991,General Motors,125126.0,-1985.7
1992,General Motors,123780.1,-4452.8
1993,General Motors,132774.9,-23498.3
1994,General Motors,133621.9,2465.8
1995,General Motors,154951.2,4900.6
1996,General Motors,168828.6,6880.7
1997,General Motors,168369.0,4963.0
1998,General Motors,178174.0,6698.0
1999,General Motors,161315.0,2956.0
2000,General Motors,189058.0,6002.0
2001,General Motors,184632.0,4452.0
2002,General Motors,177260.0,601.0
2003,General Motors,186763.0,1736.0
2004,General Motors,195645.2,3822.0
2005,General Motors,193517.0,2805.0
