Year,Company,Revenue (in millions),Profit (in millions)
1955,Motorola,205.2,7.6
1956,Motorola,226.7,8.5
1957,Motorola,227.6,8.0
1958,Motorola,226.4,7.8
1959,Motorola,216.6,7.4
1960,Motorola,289.5,14.2
1961,Motorola,299.1,12.6
1962,Motorola,298.2,9.5
1963,Motorola,346.9,13.2
1964,Motorola,377.9,12.9
1965,Motorola,419.1,20.7
1966,Motorola,517.0,31.8
1967,Motorola,682.4,33.0
1968,Motorola,630.0,18.8
1969,Motorola,775.1,28.3
1970,Motorola,873.2,33.8
1971,Motorola,796.4,24.2
1972,Motorola,926.6,31.8
1973,Motorola,1163.3,52.0
1974,Motorola,1437.1,82.0
1975,Motorola,1367.2,70.7
1976,Motorola,1311.8,41.1
1977,Motorola,1494.1,85.4
1978,Motorola,1833.9,106.3
1979,Motorola,2219.7,125.2
1980,Motorola,2713.8,154.3
1981,Motorola,3098.8,186.1
1982,Motorola,3335.9,175.0
1983,Motorola,3785.8,178.0
1984,Motorola,4328.0,244.0
1985,Motorola,5534.0,387.0
1986,Motorola,5443.0,72.0
1987,Motorola,5888.0,194.0
1988,Motorola,6707.0,308.0
1989,Motorola,8250.0,445.0
1990,Motorola,9620.0,498.0
1991,Motorola,10885.0,499.0
1992,Motorola,11341.0,454.0
1993,Motorola,13341.0,453.0
1994,Motorola,16963.0,1022.0
1995,Motorola,22245.0,1560.0
1996,Motorola,27037.0,1781.0
1997,Motorola,27973.0,1154.0
1998,Motorola,29794.0,1180.0
1999,Motorola,29398.0,-962.0
2000,Motorola,30931.0,817.0
2001,Motorola,37580.0,1318.0
2002,Motorola,30004.0,-3937.0
2003,Motorola,26679.0,-2485.0
2004,Motorola,27058.0,893.0
2005,Motorola,35349.0,1532.0
