Year,Company,Revenue (in millions),Profit (in millions)
1955,PepsiCo,74.2,6.2
1956,PepsiCo,89.0,9.5
1957,PepsiCo,97.0,8.9
1958,PepsiCo,119.1,9.6
1959,PepsiCo,136.8,11.5
1960,PepsiCo,157.8,13.9
1961,PepsiCo,157.7,14.2
1962,PepsiCo,173.9,14.4
1963,PepsiCo,191.6,15.4
1964,PepsiCo,218.5,16.1
1965,PepsiCo,252.5,18.6
1966,PepsiCo,509.9,33.2
1967,PepsiCo,604.7,38.0
1968,PepsiCo,665.3,39.2
1969,PepsiCo,848.3,46.5
1970,PepsiCo,949.4,49.4
1971,PepsiCo,1122.6,56.1
1972,PepsiCo,1225.4,62.7
1973,PepsiCo,1400.1,71.7
1974,PepsiCo,1697.9,79.6
1975,PepsiCo,2080.8,87.4
1976,PepsiCo,2321.2,104.6
1977,PepsiCo,2727.5,136.0
1978,PepsiCo,3545.7,187.3
1979,PepsiCo,4300.0,225.8
1980,PepsiCo,5090.6,264.9
1981,PepsiCo,5975.2,274.0
1982,PepsiCo,7027.4,333.5
1983,PepsiCo,7499.0,224.3
1984,PepsiCo,7895.9,284.1
1985,PepsiCo,8428.0,212.5
1986,PepsiCo,8478.9,543.7
1987,PepsiCo,9290.8,457.5
1988,PepsiCo,11500.0,595.0
1989,PepsiCo,13007.0,762.0
1990,PepsiCo,15419.6,901.4
1991,PepsiCo,17802.7,1076.9
1992,PepsiCo,19771.2,1080.2
1993,PepsiCo,22083.7,374.3
1994,PepsiCo,25020.7,1587.9
1995,PepsiCo,28472.4,1752.0
1996,PepsiCo,30421.0,1606.0
1997,PepsiCo,31645.0,1149.0
1998,PepsiCo,29292.0,2142.0
1999,PepsiCo,22348.0,1993.0
2000,PepsiCo,20367.0,2050.0
2001,PepsiCo,20438.0,2183.0
2002,PepsiCo,26935.0,2662.0
2003,PepsiCo,25112.0,3313.0
2004,PepsiCo,26971.0,3568.0
2005,PepsiCo,29261.0,4212.0
